Level	Rate	Pattern	MaxBeats	TargetBeats	SafeWidth	BeatWidth
2	.1	1,1,1,1,1,1,1,1,1	30	1	20	10
2	.1	1,1,1,1,1,1,1,1,1	30	1	20	10
2	.1	1,1,1,1,1,1,1,1,1	30	1	20	10
2	.1	1,1,1,1,1,1,1,1,1	30	1	20	10
2	.1	1,1,1,1,1,1,1,1,1	30	1	20	10
2	.1	1,1,1,1,1,1,1,1,1	30	1	20	10
2	.1	1,1,1,1,1,1,1,1,1	30	1	20	10
2	.1	1,1,1,1,1,1,1,1,1	30	1	20	10
2	.1	1,1,1,1,1,1,1,1,1	30	1	20	10
2	.1	1,1,1,1,1,1,1,1,1	30	1	20	10
2	.1	1,1,1,1,1,1,1,1,1	30	1	20	10
2	.1	1,1,1,1,1,1,1,1,1	30	1	20	10
2	.1	1,1,1,1,1,1,1,1,1	30	1	20	10
2	.1	1,1,1,1,1,1,1,1,1	30	1	20	10
2	.1	1,1,1,1,1,1,1,1,1	30	1	20	10
2	.1	1,1,1,1,1,1,1,1,1	30	1	20	10
2	.1	1,1,1,1,1,1,1,1,1	30	1	20	10
2	.1	1,1,1,1,1,1,1,1,1	30	1	20	10
2	.1	1,1,1,1,1,1,1,1,1	30	1	20	10
2	.1	1,1,1,1,1,1,1,1,1	30	1	20	10
